begin_age	end_age	events
0.0001	0.2001	['Republic', "Ba'ath Rule", 'Republic of Iraq', 'Gamal Nasser', 'TOP', 'TOP', 'TOP', 'TOP', 'Mao Zedong wins civil war', 'Independent States', 'Israel independence', 'Israel independence', 'Pakistan independence', 'India independence', 'TOP', 'Hashemite Kingdom of Iraq', 'Pahlavi Dynasty', 'British Mandate', 'Republic', 'Republic of Turkey founded', 'Republic', 'TOP', 'Separate States', '-', 'Republic', 'Republic', 'Republic', 'Xinhai Revolution', 'TOP', 'Suez Canal opens', 'TOP', 'Unified nation', 'TOP', 'Reservations', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Opium War', 'Independent States', 'Independent', 'Marquesan', 'TOP', 'TOP', 'TOP', 'Hawaiian, Maori, Tahitian, Tongan', 'Industrial Age', 'TOP', 'TOP']
0.2001	0.4001	['Napoleon conquest in 1798. ', 'TOP', 'Qajar Dynasty', 'TOP', 'TOP', 'al-Saud dynasty', 'TOP', 'Manchu (Qing)', 'TOP', 'Qing dynasty', 'Qing dynasty', 'Manchu invasion', 'Feudal (Edo, Tokugawa)', 'TOP', 'Easter Island', 'Eskimo, Athapaskan', 'Inuit, Athapaskan', 'European influence', 'Plains horsemen']
0.4001	0.6001	['TOP', 'Late Postclassic', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman expansion', 'Spanish and Portuguese influx', 'TOP', 'New Spain', 'Top', 'Spanish conquests 1521-1535 AD. ', 'TOP', 'TOP', 'Ottoman rule', 'Ottoman Empire', 'Safavid Rule', 'TOP', '-', 'Safavid dynasty', 'TOP', 'TOP', 'TOP', 'Russian empire', 'Russian empire', 'Russian empire', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Polvoron', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'TOP', 'Renaissance', 'Tudor, Stuart, Hanoverian, Windsor', 'TOP', 'Aq Quyunlu Dynasty', 'Aq Quyunlu Dynasty', 'Ottoman', 'Constantinople taken by Islam', 'Ottoman Empire', 'Constantinople taken by Islam', 'Ottoman Empire', 'TOP', 'TOP', 'TOP', 'Forbidden City completed', 'Qara Quyunlu Dynasty', 'Qara Quyunlu Dynasty', 'Indian Ocean Expeditions', 'TOP', 'Civano ', 'Aztec', 'Aztec Empire', 'Late Postclassic', 'Middle Postclassic']
0.6001	0.8001	['Timurid Rule', 'Polvoron', 'TOP', 'Tamerlane', 'Ming dynasty', 'Ming dynasty', 'Last Mongol emperor flees', 'TOP', 'TOP', 'Jalayirid Dynasty', 'Muzaffarid Dynasty(in South)/ Jalayirid Rule (in Northwest)', 'Civano ', 'Soho', 'Mamluk rule', 'Acre retaken by Islam', 'Yuan, Ming and Qing Dynasties', 'Mongol (Yuan)', 'Mongol (Kublai Khan)', 'Kublai Khan', 'Mamluk rule/ Ilkhanid Period', 'Mongols sack Baghdad', 'Mamluk rule', 'Baghdad sacked by Mongols', 'Ilkhanid Period', 'Late Anasazi', 'Mongol (Yuan)', 'Mongol (Genghis Khan) conquest', 'Mongol rulers', 'Mongols sweep into Iran', 'Mongol rule', 'Mongol rule', 'Mongol rule', 'Mongol (Golden Horde)', 'Genghis Khan', 'Hawaiian', 'Soho', 'Santan', 'Middle Postclassic', 'Early Postclassic', 'Inca']
0.8001	1.0001	['Seljuk Moslem conquest', 'Plantagenet', 'Jin dynasty', 'Manchurian conquest', 'TOP', 'Maori', 'Scandinavian regional kingdoms', 'Scandinavian regional kingdoms', 'Colonial period', 'Aymara Kingdom (Lake Titicaca) ', ' Andean Regional States (Late Intermediate Period (LIP))', 'Crusader Kingdom', 'Jerusalem taken by Crusaders', 'Byzantine & Sultinate', 'Seljuq sultinate', 'Norman', 'Seljuq Sulanate ', 'Seljuq / Khwarazmshah rule', 'Seljuq nomads take over Baghdad', 'Late Hohokam', 'Santan', 'TOP', 'Late Prehistoric', 'Late Pithouse period', 'Northern Plains Village', 'Fort Ancient', 'Proto-Iroquois (Algonquian and Iroquoian language cultures)', 'Early Postclassic', 'Epiclassic ', 'Late Caribbean']
1.0001	1.2001	['Holy Roman Empire', 'Capetian, Valois, and Bourbon (France); Iberian kingdoms', 'Song dynasty', 'Late Mogollon', 'Northeast Late Woodland', 'Oneota', 'Postclassic Southern Mexican Highlands (Postclassic Oaxaca)', 'Chimu', 'Buyid Dynasty', 'Buyid Rule', 'TOP', 'Liao dynasty', 'TOP', 'Samanid Dynasty (Khorasan)', 'Central Plains Village', 'Mississippian (Middle Mississippian)', 'West Mexico Postclassic', 'Postclassic Maya', 'Terminal Classic', 'Saffarid Dynasty', 'Pioneer period', 'Colonial period', 'Tahirid Dynasty', 'Terminal Classic', 'Late Classic', 'Chiriqui', 'Manteno', 'Late Chibcha (Columbia)', 'TOP', 'Huari (or Wari)']
1.2001	1.4001	['Viking culture', 'Viking culture', 'Papal and city states', 'Carolingian (France); Umayyad (Iberia)', 'West African Regional Development', 'TOP', 'Abbasid caliphate', 'Islam center shifts from Syria to Iraq', 'Abbasid rule', 'Islam center shifts from Syria to Iraq', 'Abbasid caliphate', 'Islam center shifts from Syria to Iraq', 'TOP', 'Uighur kingdom', 'Toltec', 'Central Mexico Postclassic', 'Epiclassic', 'Early classic', 'TOP', 'TOP', 'Islamic', 'Umayyad caliphate', 'Umayyad rule', 'Umayyad caliphate', 'Late Woodland', 'Early Anasazi', 'Eastern North America Late Woodland', 'Spread of Islam', 'Islamic', 'Arabians conquer Alexandria', 'TOP', 'Muslim Arabs overthrow Sasanian rule', 'Caliphate rule', 'Islamic rule', 'Rule of the Rightly Guided Caliphs', 'Emigration of Muhammad', 'Tahitian', 'Late Classic', 'Early Classic ', '1.4 ka']
1.4001	1.6001	['Sui, Tang and Song Dynasties', 'Sui and Tang Dynasties', 'Sui and Tang Dynasties', 'Lombard kingdom', 'Turkish khanate', 'Late Pithouse period', 'Early Pithouse period', '-', 'TOP', 'TOP', 'TOP', 'Rapanui or Rapa Nui', 'Easter Island', 'Medieval', 'Vendel culture', 'Vendel culture', 'TOP', 'Late Northwest Coast (Developed Northwest Coast, Late Pacific, Late Prehistoric, Late Marine)', 'Hotchkiss (Late Horizon, Augustine Pattern)', 'Late Basketmaker', "High Plains Late Prehistoric (Avonlea, Late Woodland, Old Women's)", 'Late Classic (Southerm Mexican Highland Classic)', 'Early Classic (Southerm Mexican Highland Classic)', 'Ecuadorian Highlands', 'Paya', 'Tupi', 'Late Parana-Pampean', 'Merovingian (France); Visigoths (Iberia)', 'Top', 'Kingdom of Ostrogoths', 'battle of Arvarayr', 'Juan-juan empire', 'Anglo-Saxon', 'Fremont', 'Late Desert Archaic (Proto-Numic)', 'Patayan (Hakataya, Proto-Yuman)', 'TOP', 'Early classic', 'Tiwanaku (Tiahuanaco, Lake Titicaca)']
1.6001	1.8001	['Sasanians partition Armenia', 'Wei dynasty', 'Protoclassic', 'Byzantine Period', 'Constantine establishs rule from Byzantium (Istanbul) capital', 'Dark Ages', 'Byzantium', 'Jin, Song, Qi, Liang, Chen dynasties', 'Byzantine', 'Emperor Constantine converts to Christianity', 'Byzantine Empire', 'Emperor Constantine converts to Christianity', 'Byzantine Empire', 'Emperor Constantine converts to Christianity', 'Byzantine Empire', 'Western Roman Empire', 'Armenia adopts Christianity as state religion', 'Cape Africa Iron Age', 'Contact with Iron Age Farmers', 'Marquesan', 'TOP', 'TOP', 'Southern Mexican Highland Classic', 'Early Classic (Southerm Mexican Highland Classic)', 'Sasanian rule', 'Sasanian rule', 'Sasanian empire', '-', '-', '-', 'Huatabampo', 'West Mexico Classic']
1.8001	2.0001	['TOP', 'Mayan', 'Classic Maya', 'Early Classic', 'Nero crowns Trdat king of Armenia', 'Roman rule', 'Moche (Mochica, Early Chimu)', 'AD', 'Tshitolian', 'South African Early Iron Age in Zambia', 'TOP', 'Gangetic India (Northern Block Polished Ware)', 'Polynesian expansion', 'Tongan, Samoan', 'Siberian Protohistoric', 'Proto-Athapaskan (Late Northern Archaic, Late Taltheilei in East, Athapaskan, Dene)', 'Formative Oregon Coast', 'Early Hohokam', 'Early Mogollon', 'Late Basketmaker', 'Early Pithouse period', 'Pioneer period', 'Early Basketmaker (White Dog phase)', 'Gran Cocle', 'Late Amazonian']
2.0001	2.2001	['Roman', 'Augustus becomes emperor of Rome', 'Roman Empire', 'Roman Period', 'Death of Cleopatra VII (absorbed into Roman empire). ', 'Roman Iron Age', 'Gulf Coast Classic (Classic Veracruz)', 'Protoclassic', 'Roman rule', 'Rome overthrows the rule of Tigranes II the Great', 'Tigranes II The Great of Armenia', 'TOP', 'Roman', 'Roman Iron Age', 'Roman Iron Age', 'Roman Iron Age', 'Romano-Celtic (Proto-Celtic)', 'Roman', 'Romano-British (Proto-Celtic)', 'TOP', 'Thule', 'Thule', 'Hopewell (mound builders)', 'TOP', 'Parthian rule', 'TOP', 'Roman rule', 'Mauryan Empire', 'Central Mexico Classic (Teotihuacan)', 'Nazca through Inca kingdoms', ' Andean Regional Development', 'Coastal Andean Late Formative (Early Horizon)', 'Nazca (Nasca)']
2.2001	2.4001	['Han Dynasty', 'Han Dynasty', 'Great Wall', 'Qin (Chin) and Han Dynasties', 'Qin (Chin) Dynasty', 'Qin (Chin) Dynasty', 'Qin Shihuangdi', 'Parthian empire', 'Ashoka', 'TOP', 'TOP', 'TOP', 'TOP', 'Basketmaker', 'Hellenistic', 'Alexander the Great dies', 'Hellenistic period', 'Mauryan Empire', 'Seleucid Dynasty', 'Seleucid empire (Hellenistic rule)', 'Armenian Dynasty of the Orontids', 'Seleucid empire (Hellenistic rule)', 'TOP', 'Ptolemaic', 'Conquest by Alexander the Great. ', 'Hellenistic rule', 'Hellenistic rule (Macedonian dynasties)', 'Alexander the Great', 'Hellenistic rule (Seleucid period)', 'Nectanebol II, last native Egyptian king, flees. Persian rule', 'Central African Iron Age', 'Fijian', 'Celtic (La T\x8fne) culture (West Central European Iron Age)', 'Northeast Middle Woodland']
